"Lesson 1:",,
"私","わたし","I"
"私たち","わたしたち","We"
"あなた","あなた","You"
"あの人","あのひと","That person"
"あの方","あのかた","That person (polite)"
"皆さん","みなさん","Everyone, ladies and gentlemen"
"先生","せんせい","Teacher, Instructor"
"教師","きょうし","Teacher, Instructor"
"学生","がくせい","Student"
"会社員","かいしゃいん","Company Employee"
"社員","しゃいん","Employee"
"銀行員","ぎんこういん","Bank employee"
"医者","いしゃ","Medical Doctor"
"研究者","けんきゅうしゃ","Researcher, Scholar"
"大学","だいがく","University"
"病院","びょういん","Hospital"
"電気","でんき","Electricity"
"だれ","だれ","Who"
"どなた","どなた","Polite equivalent of だれ"
"何歳","なんさい","How old"
"失礼ですが","しつれいですが","Excuse me but"
"お名前は？","おなまえは？","May I have your name?"
"初めまして。","はじめまして。","How do you do? (first time meeting)"
"どうぞよろしく。","どうぞよろしく。","Pleased to meet you."
"こちらは～さんです。","こちらは～さんです。","This is Mr. /Ms. ~."
"韓国","かんこく","South Korea"
"中国","ちゅうごく","China"
,,
,,
"Lesson 2:",,
"本","ほん","Book, Origin"
"辞書","じしょ","Dictionary"
"雑誌","ざっし","Magazine"
"新聞","しんぶん","Newspaper"
"手帳","てちょう","Pocket notebook"
"名刺","めいし","Business card"
"鉛筆","えんぴつ","Pencil"
"鍵","かぎ","Key"
"時計","とけい","Watch, clock"
"傘","かさ","Umbrella"
"かばん","かばん","Bag、Briefcase"
"自動車","じどうしゃ","Car, automobile"
"机","つくえ","Table"
"いす","いす","Chair"
"英語","えいご","English Language"
"日本語","にほんご","Japanese Language"
"何","なん","What"
"違います","ちがいます","No, it isn't, different"
"そうですか。","そうですか。","I see, Is that so?"
"あのう","あのう","Well… (used to show hesitation)"
"ほんの気持ちです。","ほんのきもちです。","It's nothing. It's a token of my gratitude."
"どうぞ。","どうぞ。","Please, here you are.."
"これからお世話になります。","これからおせわになります。","I hope for your kind assistance here after."
"こちらこそよろしく。","こちらこそよろしく。","I am pleased to meet you."
,,
,,
"Lesson 3:",,
"教室","きょうしつ","Classroom"
"食堂","しょくどう","Dining hall"
"事務所","じむしょ","Office"
"会議室","かいぎしつ","Conference room"
"受付","うけつけ","Reception desk"
"部屋","へや","Room"
"階段","かいだん","Staircase"
"「お」国","「お」くに","[your] Country"
"会社","かいしゃ","Company"
"内","うち","House (in this pronouncation)"
"電話","でんわ","Telephone"
"靴","くつ","Shoe"
"たばこ","たばこ","Tabacco, Cigarette"
"売り場","うりば","Department, Counter, Place to pay"
"地下","ちか","Basement"
"～階","～かい","～Floor"
"～円","～えん","～Yen"
"いくら","いくら","How much (price)"
"百","ひゃく","Hundred"
"千","せん","Thousand"
"万","まん","Ten Thousand"
"すみません。","すみません","Excuse me."
"～でございます。","～でございます。","Polite equivalent of です。"
"駐車場","ちゅうしゃじょ","Car parking"
"食料品","しょくりょうひん","Food"
"化粧品","けしょうひん","Cosmetics"
"婦人服","ふじんふく","Ladies' wear"
"紳士服","しんしふく","Men's wear"
"家具","かぐ","Furniture"
"食器","しょっき","Kitchenwear"
"電気製品","でんきせいひん","Electrical Appliances"
"子ども服","こどもふく","Children's clothes"
"おもちゃ","おもちゃ","Toys"
"文房具","ぶんぼうぐ","Stationary; writing accessories"
"スポーツ用品","スポーツようひん","Sporting goods"
"旅行用品","りょこうようひん","Leisure goods"
"眼鏡","めがね","Glasses"
"催し物会場","もよおしものかいじょう","Event hall"
"屋上","おくじょ","Roof"
"遊園地","ゆうえんち","Amusement park"
,,
,,
"Lesson 4:",,
"起きます","おきます","Get up, wake up"
"寝ます","ねます","Sleep, go to bed"
"働きます","はたらきます","Work"
"休みます","やすみます","Take rest, Take a holiday"
"勉強します","べんきょうします","Study"
"終わります","おわります","Finish"
"銀行","ぎんこう","Bank"
"郵便局","ゆうびんきょく","Post office"
"図書館","としょかん","Library"
"美術館","びじゅつかん","Art museum"
"今","いま","Now"
"～時","～じ","～O'clock"
"～分","～ふん","～Minute"
"半","はん","Half"
"何時","なんじ","What time?"
"何分","なんぷん","What minute"
"午前","ごぜん","Morning, a.m. (For saying time)"
"午後","ごご","Afternoon, p.m. (For saying time)"
"朝","あさ","Morning"
"昼","ひる","Noon"
"夜","よる","Evening"
"晩","ばん","Night"
"おととい","おととい","The day before yesterday"
"きのう","きのう","Yesterday"
"きょう","きょう","Today"
"あした","あした","Tomorrow"
"あさって","あさって","The day after tomorrow"
"今朝","けさ","This morning"
"今晩","こんばん","This evening, Tonight"
"休み","やすみ","Rest, Holiday, a day off"
"昼休み","ひるやすみ","Lunch break"
"毎朝","まいあさ","Every Morning"
"毎晩","まいばん","Every Night"
"毎日","まいにち","Every day"
"月曜日","げつようび","Monday"
"火曜日","かようび","Tuesday"
"水曜日","すいようび","Wednesday"
"木曜日","もくようび","Thursday"
"金曜日","きんようび","Friday"
"土曜日","どようび","Saturday"
"日曜日","にちようび","Sunday"
"番号","ばんごう","Number"
"何番","なんばん","What number"
"～から","～から","From ~"
"～まで","～まで","Up to ~, Until ~"
"～と～","～と～","And"
"そちら","そちら","Your place"
"大変ですね。","たいへんですね。","That's tough, isn't it?"
"ええと","ええと","Well, let me see"
"お願いします。","おねがいします。","Please"
"かしこまりました。","かしこまりました。","Certainly"
"お問い合わせの番号","おといあわせのばんごう","The number being inquired about"
"警察署","けいさつしょ","Police"
"消防署","しょうぼうしょ","Fire, Ambulance"
"電話番号案内","でんわばんごうあんない","Directory assistance services"
,,
,,
"Lesson 5:",,
"行きます","いきます","Go"
"来ます","きます","Come"
"帰ります","かえります","Go home, return"
"学校","がっこう","School"
"駅","えき","Station"
"飛行機","ひこうき","Airplane"
"船","ふね","Ship"
"電車","でんしゃ","Electric Train"
"地下鉄","ちかてつ","Subway"
"新幹線","しんかんせん","Shinkansen"
"自転車","じてんしゃ","Bicycle"
"歩いて","あるいて","On foot"
"人","ひと","Person, people"
"友達","ともだち","Friend"
"彼","かれ","He, boyfriend, lover"
"彼女","かのじょ","She, girlfriend, lover"
"家族","かぞく","Family"
"一人で","ひとりで","Alone, By oneself"
"先週","せんしゅう","Last week"
"今週","こんしゅう","This week"
"来週","らいしゅう","Next week"
"先月","せんげつ","Last month"
"今月","こんげつ","This month"
"来月","らいげつ","Next month"
"去年","きょねん","Last year"
"今年","ことち、こんねん","This year"
"来年","らいねん","Next year"
"～月","～がつ","～th month of the year"
"何月","なんがつ","What month"
"一日","ついたち","First day of the month"
"二日","ふつか","Second, Second day of the month"
"三日","みっか","Third, Third day of the month"
"四日","よっか","Fourth, Fourth day of the month"
"五日","いつか","Fifth, Fifth day of the month"
"六日","むいか","Sixth, Sixth day of the month"
"七日","なのか","Seventh, Seventh day of the month"
"八日","ようか","Eighth, Eighth day of the month"
"九日","ここのか","Nineth, Ninth day of the month"
"十日","とおか","Tenth, Tenth day of the month"
"十四日","じゅうよっか","14th, 14th day of the month"
"二十日","はつか","20th, 20th day of the month"
"二十四日","にじゅよっか","24th, 24th day of the month"
"何日","なんにち","Which day of the month"
"いつ","いつか","When"
"誕生日","たんじょうび","Birthday"
"普通","ふつう","Local (train)"
"急行","きゅうこう","Rapid"
"特急","とっきゅう","Express"
"次の","つぎの","Next"
"どういたしまして。","どういたしまして。","Your welcome, don't mention it."
"～番線","～ばんせん","～th platform"
"祝祭日","しゅくさいじつ","National holidays"
"元日","がんじつ","New year's day"
"成人の日","せいじんのひ","Coming-of-age Day"
