"Lesson 1:","",""
"私","わたし","я"
"私たち","わたしたち","мы"
"あなた","あなた","ты, вы"
"あの人","あのひと","тот человек"
"あの方","あのかた","тот человек (вежливо)"
"皆さん","みなさん","все; дамы и господа"
"先生","せんせい","учитель, преподаватель"
"教師","きょうし","учитель, преподаватель"
"学生","がくせい","студент, учащийся"
"会社員","かいしゃいん","служащий компании"
"社員","しゃいん","сотрудник"
"銀行員","ぎんこういん","банковский служащий"
"医者","いしゃ","врач"
"研究者","けんきゅうしゃ","исследователь, учёный"
"大学","だいがく","университет"
"病院","びょういん","больница"
"電気","でんき","электричество"
"だれ","だれ","кто"
"どなた","どなた","кто (вежливый эквивалент だれ)"
"何歳","なんさい","сколько лет"
"失礼ですが","しつれいですが","извините, но..."
"お名前は？","おなまえは？","как вас зовут?"
"初めまして。","はじめまして。","приятно познакомиться (при первой встрече)"
"どうぞよろしく。","どうぞよろしく。","приятно познакомиться; прошу любить и жаловать"
"こちらは～さんです。","こちらは～さんです。","это господин/госпожа ~"
"韓国","かんこく","Южная Корея"
"中国","ちゅうごく","Китай"
"","",""
"","",""
"Lesson 2:","",""
"本","ほん","книга; источник, начало"
"辞書","じしょ","словарь"
"雑誌","ざっし","журнал"
"新聞","しんぶん","газета"
"手帳","てちょう","записная книжка"
"名刺","めいし","визитная карточка"
"鉛筆","えんぴつ","карандаш"
"鍵","かぎ","ключ"
"時計","とけい","часы"
"傘","かさ","зонт"
"かばん","かばん","сумка, портфель"
"自動車","じどうしゃ","автомобиль"
"机","つくえ","стол"
"いす","いす","стул"
"英語","えいご","английский язык"
"日本語","にほんご","японский язык"
"何","なん","что"
"違います","ちがいます","нет, это не так; отличается"
"そうですか。","そうですか。","вот как; неужели?"
"あのう","あのう","э-э... (выражает нерешительность)"
"ほんの気持ちです。","ほんのきもちです。","это пустяк; это знак моей благодарности"
"どうぞ。","どうぞ。","пожалуйста; вот, возьмите"
"これからお世話になります。","これからおせわになります。","надеюсь на вашу помощь в дальнейшем"
"こちらこそよろしく。","こちらこそよろしく。","это мне приятно познакомиться"
"","",""
"","",""
"Lesson 3:","",""
"教室","きょうしつ","класс, аудитория"
"食堂","しょくどう","столовая"
"事務所","じむしょ","контора, офис"
"会議室","かいぎしつ","конференц-зал"
"受付","うけつけ","приёмная; стойка регистрации"
"部屋","へや","комната"
"階段","かいだん","лестница"
"「お」国","「お」くに","(ваша) страна"
"会社","かいしゃ","компания, фирма"
"内","うち","дом (в этом чтении)"
"電話","でんわ","телефон"
"靴","くつ","обувь, ботинок"
"たばこ","たばこ","табак, сигарета"
"売り場","うりば","отдел, прилавок (место продажи)"
"地下","ちか","подвал, цокольный этаж"
"～階","～かい","～-й этаж"
"～円","～えん","～иен"
"いくら","いくら","сколько (стоит)"
"百","ひゃく","сто"
"千","せん","тысяча"
"万","まん","десять тысяч"
"すみません。","すみません","извините"
"～でございます。","～でございます。","вежливый эквивалент です"
"駐車場","ちゅうしゃじょ","автостоянка, парковка"
"食料品","しょくりょうひん","продукты питания"
"化粧品","けしょうひん","косметика"
"婦人服","ふじんふく","женская одежда"
"紳士服","しんしふく","мужская одежда"
"家具","かぐ","мебель"
"食器","しょっき","посуда"
"電気製品","でんきせいひん","электроприборы, бытовая электроника"
"子ども服","こどもふく","детская одежда"
"おもちゃ","おもちゃ","игрушки"
"文房具","ぶんぼうぐ","канцелярские товары"
"スポーツ用品","スポーツようひん","спортивные товары"
"旅行用品","りょこうようひん","товары для путешествий"
"眼鏡","めがね","очки"
"催し物会場","もよおしものかいじょう","зал для мероприятий"
"屋上","おくじょ","крыша"
"遊園地","ゆうえんち","парк развлечений"
"","",""
"","",""
"Lesson 4:","",""
"起きます","おきます","вставать, просыпаться"
"寝ます","ねます","спать, ложиться спать"
"働きます","はたらきます","работать"
"休みます","やすみます","отдыхать; брать выходной"
"勉強します","べんきょうします","учиться, заниматься"
"終わります","おわります","заканчиваться"
"銀行","ぎんこう","банк"
"郵便局","ゆうびんきょく","почта, почтовое отделение"
"図書館","としょかん","библиотека"
"美術館","びじゅつかん","художественный музей"
"今","いま","сейчас"
"～時","～じ","～час (времени)"
"～分","～ふん","～минута"
"半","はん","половина"
"何時","なんじ","во сколько; который час"
"何分","なんぷん","сколько минут"
"午前","ごぜん","утро; до полудня"
"午後","ごご","день; после полудня"
"朝","あさ","утро"
"昼","ひる","полдень"
"夜","よる","вечер, ночь"
"晩","ばん","вечер"
"おととい","おととい","позавчера"
"きのう","きのう","вчера"
"きょう","きょう","сегодня"
"あした","あした","завтра"
"あさって","あさって","послезавтра"
"今朝","けさ","сегодня утром"
"今晩","こんばん","сегодня вечером"
"休み","やすみ","отдых, выходной, отпуск"
"昼休み","ひるやすみ","обеденный перерыв"
"毎朝","まいあさ","каждое утро"
"毎晩","まいばん","каждый вечер"
"毎日","まいにち","каждый день"
"月曜日","げつようび","понедельник"
"火曜日","かようび","вторник"
"水曜日","すいようび","среда"
"木曜日","もくようび","четверг"
"金曜日","きんようび","пятница"
"土曜日","どようび","суббота"
"日曜日","にちようび","воскресенье"
"番号","ばんごう","номер"
"何番","なんばん","какой номер"
"～から","～から","от ~, из ~"
"～まで","～まで","до ~"
"～と～","～と～","и"
"そちら","そちら","у вас; ваша сторона"
"大変ですね。","たいへんですね。","это тяжело, не правда ли?"
"ええと","ええと","ну... дайте подумать"
"お願いします。","おねがいします。","пожалуйста (прошу вас)"
"かしこまりました。","かしこまりました。","хорошо, будет сделано"
"お問い合わせの番号","おといあわせのばんごう","запрашиваемый номер"
"警察署","けいさつしょ","полиция (отделение)"
"消防署","しょうぼうしょ","пожарная часть"
"電話番号案内","でんわばんごうあんない","справочная телефонных номеров"
"","",""
"","",""
"Lesson 5:","",""
"行きます","いきます","идти, ехать"
"来ます","きます","приходить, приезжать"
"帰ります","かえります","возвращаться домой"
"学校","がっこう","школа"
"駅","えき","станция, вокзал"
"飛行機","ひこうき","самолёт"
"船","ふね","корабль, судно"
"電車","でんしゃ","электричка, электропоезд"
"地下鉄","ちかてつ","метро"
"新幹線","しんかんせん","шинкансэн (скоростной поезд)"
"自転車","じてんしゃ","велосипед"
"歩いて","あるいて","пешком"
"人","ひと","человек, люди"
"友達","ともだち","друг"
"彼","かれ","он; парень, возлюбленный"
"彼女","かのじょ","она; девушка, возлюбленная"
"家族","かぞく","семья"
"一人で","ひとりで","один, в одиночку"
"先週","せんしゅう","на прошлой неделе"
"今週","こんしゅう","на этой неделе"
"来週","らいしゅう","на следующей неделе"
"先月","せんげつ","в прошлом месяце"
"今月","こんげつ","в этом месяце"
"来月","らいげつ","в следующем месяце"
"去年","きょねん","в прошлом году"
"今年","ことち、こんねん","в этом году"
"来年","らいねん","в следующем году"
"～月","～がつ","～месяц (года)"
"何月","なんがつ","какой месяц"
"一日","ついたち","первое число месяца"
"二日","ふつか","второе число месяца"
"三日","みっか","третье число месяца"
"四日","よっか","четвёртое число месяца"
"五日","いつか","пятое число месяца"
"六日","むいか","шестое число месяца"
"七日","なのか","седьмое число месяца"
